pair,base,quote,status,last_updated
EOSETH,EOS,ETH,BREAK,2025-09-16 14:48:48
SNTETH,SNT,ETH,BREAK,2025-09-16 14:48:48
BNTETH,BNT,ETH,BREAK,2025-09-16 14:48:48
BCCBTC,BCC,BTC,BREAK,2025-09-16 14:48:48
HSRBTC,HSR,BTC,BREAK,2025-09-16 14:48:48
OAXETH,OAX,ETH,BREAK,2025-09-16 14:48:48
DNTETH,DNT,ETH,BREAK,2025-09-16 14:48:48
MCOETH,MCO,ETH,BREAK,2025-09-16 14:48:48
ICNETH,ICN,ETH,BREAK,2025-09-16 14:48:48
MCOBTC,MCO,BTC,BREAK,2025-09-16 14:48:48
WTCBTC,WTC,BTC,BREAK,2025-09-16 14:48:48
WTCETH,WTC,ETH,BREAK,2025-09-16 14:48:48
YOYOBTC,YOYO,BTC,BREAK,2025-09-16 14:48:48
OMGBTC,OMG,BTC,BREAK,2025-09-16 14:48:48
OMGETH,OMG,ETH,BREAK,2025-09-16 14:48:48
ZRXETH,ZRX,ETH,BREAK,2025-09-16 14:48:48
STRATBTC,STRAT,BTC,BREAK,2025-09-16 14:48:48
STRATETH,STRAT,ETH,BREAK,2025-09-16 14:48:48
SNGLSBTC,SNGLS,BTC,BREAK,2025-09-16 14:48:48
SNGLSETH,SNGLS,ETH,BREAK,2025-09-16 14:48:48
BQXBTC,BQX,BTC,BREAK,2025-09-16 14:48:48
BQXETH,BQX,ETH,BREAK,2025-09-16 14:48:48
KNCETH,KNC,ETH,BREAK,2025-09-16 14:48:48
FUNBTC,FUN,BTC,BREAK,2025-09-16 14:48:48
FUNETH,FUN,ETH,BREAK,2025-09-16 14:48:48
SNMBTC,SNM,BTC,BREAK,2025-09-16 14:48:48
SNMETH,SNM,ETH,BREAK,2025-09-16 14:48:48
NEOETH,NEO,ETH,BREAK,2025-09-16 14:48:48
XVGBTC,XVG,BTC,BREAK,2025-09-16 14:48:48
SALTBTC,SALT,BTC,BREAK,2025-09-16 14:48:48
SALTETH,SALT,ETH,BREAK,2025-09-16 14:48:48
MDABTC,MDA,BTC,BREAK,2025-09-16 14:48:48
MDAETH,MDA,ETH,BREAK,2025-09-16 14:48:48
MTLETH,MTL,ETH,BREAK,2025-09-16 14:48:48
SUBBTC,SUB,BTC,BREAK,2025-09-16 14:48:48
SUBETH,SUB,ETH,BREAK,2025-09-16 14:48:48
EOSBTC,EOS,BTC,BREAK,2025-09-16 14:48:48
SNTBTC,SNT,BTC,BREAK,2025-09-16 14:48:48
MTHBTC,MTH,BTC,BREAK,2025-09-16 14:48:48
MTHETH,MTH,ETH,BREAK,2025-09-16 14:48:48
ENGBTC,ENG,BTC,BREAK,2025-09-16 14:48:48
ENGETH,ENG,ETH,BREAK,2025-09-16 14:48:48
DNTBTC,DNT,BTC,BREAK,2025-09-16 14:48:48
BNTBTC,BNT,BTC,BREAK,2025-09-16 14:48:48
ASTBTC,AST,BTC,BREAK,2025-09-16 14:48:48
ASTETH,AST,ETH,BREAK,2025-09-16 14:48:48
OAXBTC,OAX,BTC,BREAK,2025-09-16 14:48:48
ICNBTC,ICN,BTC,BREAK,2025-09-16 14:48:48
BTGBTC,BTG,BTC,BREAK,2025-09-16 14:48:48
BTGETH,BTG,ETH,BREAK,2025-09-16 14:48:48
EVXBTC,EVX,BTC,BREAK,2025-09-16 14:48:48
EVXETH,EVX,ETH,BREAK,2025-09-16 14:48:48
REQETH,REQ,ETH,BREAK,2025-09-16 14:48:48
VIBBTC,VIB,BTC,BREAK,2025-09-16 14:48:48
VIBETH,VIB,ETH,BREAK,2025-09-16 14:48:48
HSRETH,HSR,ETH,BREAK,2025-09-16 14:48:48
ARKBTC,ARK,BTC,BREAK,2025-09-16 14:48:48
ARKETH,ARK,ETH,BREAK,2025-09-16 14:48:48
YOYOETH,YOYO,ETH,BREAK,2025-09-16 14:48:48
MODBTC,MOD,BTC,BREAK,2025-09-16 14:48:48
MODETH,MOD,ETH,BREAK,2025-09-16 14:48:48
ENJETH,ENJ,ETH,BREAK,2025-09-16 14:48:48
STORJETH,STORJ,ETH,BREAK,2025-09-16 14:48:48
VENBNB,VEN,BNB,BREAK,2025-09-16 14:48:48
YOYOBNB,YOYO,BNB,BREAK,2025-09-16 14:48:48
POWRBNB,POWR,BNB,BREAK,2025-09-16 14:48:48
VENBTC,VEN,BTC,BREAK,2025-09-16 14:48:48
VENETH,VEN,ETH,BREAK,2025-09-16 14:48:48
KMDBTC,KMD,BTC,BREAK,2025-09-16 14:48:48
KMDETH,KMD,ETH,BREAK,2025-09-16 14:48:48
NULSBNB,NULS,BNB,BREAK,2025-09-16 14:48:48
RCNBTC,RCN,BTC,BREAK,2025-09-16 14:48:48
RCNETH,RCN,ETH,BREAK,2025-09-16 14:48:48
RCNBNB,RCN,BNB,BREAK,2025-09-16 14:48:48
NULSBTC,NULS,BTC,BREAK,2025-09-16 14:48:48
NULSETH,NULS,ETH,BREAK,2025-09-16 14:48:48
RDNBTC,RDN,BTC,BREAK,2025-09-16 14:48:48
RDNETH,RDN,ETH,BREAK,2025-09-16 14:48:48
RDNBNB,RDN,BNB,BREAK,2025-09-16 14:48:48
XMRBTC,XMR,BTC,BREAK,2025-09-16 14:48:48
XMRETH,XMR,ETH,BREAK,2025-09-16 14:48:48
DLTBNB,DLT,BNB,BREAK,2025-09-16 14:48:48
WTCBNB,WTC,BNB,BREAK,2025-09-16 14:48:48
DLTBTC,DLT,BTC,BREAK,2025-09-16 14:48:48
DLTETH,DLT,ETH,BREAK,2025-09-16 14:48:48
AMBBTC,AMB,BTC,BREAK,2025-09-16 14:48:48
AMBETH,AMB,ETH,BREAK,2025-09-16 14:48:48
AMBBNB,AMB,BNB,BREAK,2025-09-16 14:48:48
BCCETH,BCC,ETH,BREAK,2025-09-16 14:48:48
BCCUSDT,BCC,USDT,BREAK,2025-09-16 14:48:48
BCCBNB,BCC,BNB,BREAK,2025-09-16 14:48:48
BATETH,BAT,ETH,BREAK,2025-09-16 14:48:48
BATBNB,BAT,BNB,BREAK,2025-09-16 14:48:48
BCPTBTC,BCPT,BTC,BREAK,2025-09-16 14:48:48
BCPTETH,BCPT,ETH,BREAK,2025-09-16 14:48:48
BCPTBNB,BCPT,BNB,BREAK,2025-09-16 14:48:48
ARNBTC,ARN,BTC,BREAK,2025-09-16 14:48:48
ARNETH,ARN,ETH,BREAK,2025-09-16 14:48:48
GVTBTC,GVT,BTC,BREAK,2025-09-16 14:48:48
GVTETH,GVT,ETH,BREAK,2025-09-16 14:48:48
CDTBTC,CDT,BTC,BREAK,2025-09-16 14:48:48
CDTETH,CDT,ETH,BREAK,2025-09-16 14:48:48
GXSBTC,GXS,BTC,BREAK,2025-09-16 14:48:48
GXSETH,GXS,ETH,BREAK,2025-09-16 14:48:48
NEOBNB,NEO,BNB,BREAK,2025-09-16 14:48:48
POEBTC,POE,BTC,BREAK,2025-09-16 14:48:48
POEETH,POE,ETH,BREAK,2025-09-16 14:48:48
QSPBTC,QSP,BTC,BREAK,2025-09-16 14:48:48
QSPETH,QSP,ETH,BREAK,2025-09-16 14:48:48
QSPBNB,QSP,BNB,BREAK,2025-09-16 14:48:48
BTSBTC,BTS,BTC,BREAK,2025-09-16 14:48:48
BTSETH,BTS,ETH,BREAK,2025-09-16 14:48:48
BTSBNB,BTS,BNB,BREAK,2025-09-16 14:48:48
XZCBTC,XZC,BTC,BREAK,2025-09-16 14:48:48
XZCETH,XZC,ETH,BREAK,2025-09-16 14:48:48
XZCBNB,XZC,BNB,BREAK,2025-09-16 14:48:48
LSKETH,LSK,ETH,BREAK,2025-09-16 14:48:48
LSKBNB,LSK,BNB,BREAK,2025-09-16 14:48:48
TNTBTC,TNT,BTC,BREAK,2025-09-16 14:48:48
TNTETH,TNT,ETH,BREAK,2025-09-16 14:48:48
FUELBTC,FUEL,BTC,BREAK,2025-09-16 14:48:48
FUELETH,FUEL,ETH,BREAK,2025-09-16 14:48:48
BCDBTC,BCD,BTC,BREAK,2025-09-16 14:48:48
BCDETH,BCD,ETH,BREAK,2025-09-16 14:48:48
DGDBTC,DGD,BTC,BREAK,2025-09-16 14:48:48
DGDETH,DGD,ETH,BREAK,2025-09-16 14:48:48
IOTABNB,IOTA,BNB,BREAK,2025-09-16 14:48:48
ADXBNB,ADX,BNB,BREAK,2025-09-16 14:48:48
PPTBTC,PPT,BTC,BREAK,2025-09-16 14:48:48
PPTETH,PPT,ETH,BREAK,2025-09-16 14:48:48
CMTBTC,CMT,BTC,BREAK,2025-09-16 14:48:48
CMTETH,CMT,ETH,BREAK,2025-09-16 14:48:48
CMTBNB,CMT,BNB,BREAK,2025-09-16 14:48:48
XLMBNB,XLM,BNB,BREAK,2025-09-16 14:48:48
CNDBTC,CND,BTC,BREAK,2025-09-16 14:48:48
CNDETH,CND,ETH,BREAK,2025-09-16 14:48:48
CNDBNB,CND,BNB,BREAK,2025-09-16 14:48:48
LENDBTC,LEND,BTC,BREAK,2025-09-16 14:48:48
LENDETH,LEND,ETH,BREAK,2025-09-16 14:48:48
WABIBTC,WABI,BTC,BREAK,2025-09-16 14:48:48
WABIETH,WABI,ETH,BREAK,2025-09-16 14:48:48
WABIBNB,WABI,BNB,BREAK,2025-09-16 14:48:48
TNBBTC,TNB,BTC,BREAK,2025-09-16 14:48:48
TNBETH,TNB,ETH,BREAK,2025-09-16 14:48:48
WAVESBTC,WAVES,BTC,BREAK,2025-09-16 14:48:48
WAVESETH,WAVES,ETH,BREAK,2025-09-16 14:48:48
WAVESBNB,WAVES,BNB,BREAK,2025-09-16 14:48:48
GTOBTC,GTO,BTC,BREAK,2025-09-16 14:48:48
GTOETH,GTO,ETH,BREAK,2025-09-16 14:48:48
GTOBNB,GTO,BNB,BREAK,2025-09-16 14:48:48
ICXETH,ICX,ETH,BREAK,2025-09-16 14:48:48
ICXBNB,ICX,BNB,BREAK,2025-09-16 14:48:48
OSTBTC,OST,BTC,BREAK,2025-09-16 14:48:48
OSTETH,OST,ETH,BREAK,2025-09-16 14:48:48
