pair,base,quote,state,min_order_size,tick_size,last_updated
USDT-SGD,USDT,SGD,live,1,0.0001,2025-09-08 11:18:55
USDC-SGD,USDC,SGD,live,1,0.0001,2025-09-08 11:18:55
BTC-AUD,BTC,AUD,live,0.0001,0.1,2025-09-08 11:18:55
ETH-AUD,ETH,AUD,live,0.0001,0.1,2025-09-08 11:18:55
SOL-AUD,SOL,AUD,live,0.001,0.01,2025-09-08 11:18:55
XRP-AUD,XRP,AUD,live,0.1,0.0001,2025-09-08 11:18:55
TRUMP-AUD,TRUMP,AUD,live,0.1,0.001,2025-09-08 11:18:55
USDT-AUD,USDT,AUD,live,0.1,0.0001,2025-09-08 11:18:55
USDC-AUD,USDC,AUD,live,0.1,0.0001,2025-09-08 11:18:55
BTC-AED,BTC,AED,live,0.000001,1,2025-09-08 11:18:55
ETH-AED,ETH,AED,live,0.0001,0.1,2025-09-08 11:18:55
SOL-AED,SOL,AED,live,0.001,0.1,2025-09-08 11:18:55
XRP-AED,XRP,AED,live,0.1,0.001,2025-09-08 11:18:55
TRUMP-AED,TRUMP,AED,live,0.1,0.01,2025-09-08 11:18:55
USDT-AED,USDT,AED,live,0.1,0.001,2025-09-08 11:18:55
BTC-BRL,BTC,BRL,live,0.0001,1,2025-09-08 11:18:55
ETH-BRL,ETH,BRL,live,0.001,0.1,2025-09-08 11:18:55
SOL-BRL,SOL,BRL,live,0.001,0.1,2025-09-08 11:18:55
XRP-BRL,XRP,BRL,live,0.1,0.001,2025-09-08 11:18:55
PI-BRL,PI,BRL,live,1,0.001,2025-09-08 11:18:55
PEPE-BRL,PEPE,BRL,live,100000,0.00000001,2025-09-08 11:18:55
TRUMP-BRL,TRUMP,BRL,live,0.1,0.01,2025-09-08 11:18:55
USDT-BRL,USDT,BRL,live,1,0.001,2025-09-08 11:18:55
USDC-BRL,USDC,BRL,live,1,0.001,2025-09-08 11:18:55
BTC-EUR,BTC,EUR,live,0.0001,0.1,2025-09-08 11:18:55
ETH-EUR,ETH,EUR,live,0.001,0.01,2025-09-08 11:18:55
SOL-EUR,SOL,EUR,live,0.01,0.01,2025-09-08 11:18:55
DOGE-EUR,DOGE,EUR,live,10,0.00001,2025-09-08 11:18:55
XRP-EUR,XRP,EUR,live,1,0.0001,2025-09-08 11:18:55
PI-EUR,PI,EUR,live,1,0.0001,2025-09-08 11:18:55
1INCH-EUR,1INCH,EUR,live,10,0.0001,2025-09-08 11:18:55
AAVE-EUR,AAVE,EUR,live,0.01,0.01,2025-09-08 11:18:55
